20Kb_5End 20Kb_3End Within Within+10Kb
0 0 268000 268000
13324 12309 NA 2309
21303 0 21698 23000
0 0 NA 0
0 0 0 0
0 24513 53488 58000
0 0 0 0
22000 22000 11386 22000
0 0 0 0
0 0 61000 61000
0 40001 71373 81373
0 25448 74553 80000
13193 19197 64000 64000
12000 29167 69834 79000
0 0 NA NA
0 0 0 0
29841 28813 16348 35000
18626 11806 45000 45000
22000 4755 15004 22000
16000 0 6330 16000
0 27412 161589 169000
0 0 91000 91000
0 20935 449066 450000
1891 0 61000 61000
22136 20354 51512 54000
27148 24916 350938 363000
0 0 0 0
22000 22000 NA 15853
35000 24993 68203 83195
19131 0 69000 69000
31663 0 39338 49338
0 0 73000 73000
0 32453 12453 22453
34607 26023 8585 24607
6429 29605 88396 98000
0 0 26000 26000
23007 0 51994 55000
32507 26251 76244 92494
0 0 0 0
0 0 NA 0
13768 4943 530000 530000
22861 27200 64941 75000
0 0 140000 140000
26375 15526 98626 105000
0 23856 64145 68000
0 0 0 0
28311 13512 25690 34000
12204 26002 62999 69000
10360 17340 139000 139000
27306 30583 150113 167418
0 21453 22548 24000
0 0 118000 118000
0 0 331000 331000
28000 16017 39811 49000
21000 0 260647 270647
10652 0 54000 54000
0 0 33000 33000
20000 20000 10464 20000
11917 24001 44000 44000
24001 24001 NA 1782
25500 28559 14943 29000
22001 22001 NA 1590
15000 15000 2526 15000
14000 0 91000 91000
0 0 0 0
20640 17669 21361 22000
0 0 0 0
15000 15000 NA 15000
16563 24245 33756 38000
13644 0 15000 15000
0 0 0 0
18000 18920 86234 96234
0 31100 11100 21100
0 21839 115162 117000
0 0 0 0
0 0 61000 61000
25000 17827 74570 84570
24427 0 34574 39000
0 0 0 0
0 0 66000 66000
35098 0 42903 52903
28111 35985 7875 25985
40001 6382 149665 159665
21000 29879 70555 86000
0 20711 90290 91000
9314 5679 0 0
0 0 NA 0
0 0 0 0
0 0 59000 59000
20532 27794 57676 66000
34161 9861 21840 31840
19240 29000 11390 21390
22673 20807 1867 12673
0 8583 16000 16000
30518 2399 64483 74483
25841 33000 199134 214974
3313 16442 101000 101000
15466 24003 81998 86000
0 0 0 0
28587 40001 39700 58286
40001 29761 17507 37267
0 16000 335354 342000
0 0 63000 63000
3091 22210 40791 43000
0 0 82000 82000
39513 0 50513 60513
13654 0 150000 150000
0 26000 28110 38110
26000 0 10443 20443
0 0 0 0
0 0 0 0
19000 0 15645 19000
22081 22806 NA 12081
11392 36921 28080 38080
8932 4067 NA 0
24000 18530 38552 48552
0 22449 35552 38000
0 0 NA 0
28687 22091 81224 92000
7116 19208 115000 115000
8749 33700 430700 440700
0 9712 97000 97000
29000 0 99773 109773
30450 10094 25551 35551
22521 37261 39220 51740
0 17304 29000 29000
26000 20855 18331 26000
0 8304 0 0
25000 25000 NA 16539
0 0 116000 116000
31000 0 57011 67011
14659 14039 NA 4039
29737 20398 70340 80737
0 18730 0 8730
16506 18590 0 8590
0 18685 46000 46000
14001 16000 16000 16000
6578 372 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 NA 0
13474 22175 23826 26000
16034 19000 14603 19000
0 0 0 0
0 0 14000 14000
0 0 NA NA
0 12000 20906 23000
0 15725 29000 29000
21913 0 20088 22000
0 0 0 0
25332 26291 960 16291
26436 16563 22565 29000
0 26343 50658 57000
22000 27101 38426 52000
1481 15000 67000 67000
24000 24000 80 16479
19000 19000 12561 19000
17010 21060 26941 28000
0 0 NA NA
32134 0 196867 206867
27028 16853 31973 39000
0 0 NA 0
0 0 13000 13000
0 0 0 0
0 28921 31080 40000
1767 0 30000 30000
31992 27541 75469 93009
0 0 NA NA
4653 29738 70263 80000
10564 950 83000 83000
18000 18000 192 17202
18000 26713 175813 191000
7700 7855 NA 0
30108 6029 75893 85893
27377 27405 29 17405
0 35000 154112 164112
0 4632 45000 45000
0 25462 45539 51000
0 0 47000 47000
0 0 NA NA
40001 25815 24508 40322
0 21090 61911 63000
0 0 204000 204000
0 0 0 0
2981 3114 0 0
0 8978 0 0
16665 8028 29000 29000
0 0 0 0
22804 0 39197 42000
0 0 0 0
0 0 NA 0
15000 15000 8128 15000
0 0 37000 37000
0 0 0 0
5829 3946 NA 0
10000 10000 2958 10000
10000 10000 0 2627
16440 16478 0 6478
23392 32176 8785 22176
37060 36432 NA 19373
39108 38013 1096 21096
30378 0 10378 20378
2745 7588 28000 28000
15711 3551 23000 23000
0 0 161000 161000
0 20000 16651 20000
0 15599 171000 171000
22745 36569 17688 30432
23000 23000 12016 23000
13569 0 54000 57569
30111 20705 333186 343890
0 0 0 0
0 0 0 0
0 0 0 0
16551 26134 72867 79000
0 0 0 0
0 7657 228000 228000
29275 14448 43726 53000
0 26103 80898 87000
16000 16000 9656 16000
0 23442 111559 115000
0 0 0 0
0 23424 29577 33000
23542 28742 25718 38000
0 10760 23000 23000
0 16397 60000 60000
9749 0 0 0
0 0 NA 0
0 25047 40954 46000
0 0 60000 60000
0 0 NA 0
15355 20993 41008 42000
0 0 64000 64000
21321 20849 58832 61000
0 0 0 0
0 5061 28000 28000
26000 12000 31788 38000
0 15385 114000 114000
20359 23269 104374 108000
8199 0 63000 63000
0 0 11000 11000
13110 0 113000 113000
0 0 30000 30000
14237 21000 12529 21000
29055 11960 62946 72000
0 28920 36081 45000
0 0 0 0
0 19138 119000 119000
19349 22866 115866 125866
0 11022 54000 54000
776 15914 106000 106000
13494 14000 4838 14000
0 10132 0 132
23878 10000 140878 150878
0 0 0 0
0 0 NA 0
22068 16323 39933 42000
21524 23000 NA 11524
0 0 0 0
10744 12913 NA 744
7146 23866 36135 40000
8454 0 0 0
22000 22000 NA 18136
0 0 0 0
0 0 0 0
9564 7675 NA 0
36000 0 17606 27606
26966 19970 26035 33000
15000 12800 15000 17800
19009 0 33000 33000
0 0 0 0
0 0 140000 140000
28458 24476 75068 88000
525 0 0 0
14925 28000 46116 56116
13078 14589 17000 17000
5703 20000 17543 20000
9305 9823 NA 0
0 0 NA 0
34823 21001 28178 38178
21001 17000 14757 17000
5686 5496 0 0
0 0 0 0
15000 15000 11200 15000
16000 21275 13275 16000
25126 20691 10691 15126
26096 14000 10548 16096
28573 24295 4279 18573
0 22946 NA NA
0 0 0 0
0 0 50000 50000
18000 18000 8751 18000
0 0 NA 0
32221 8086 57780 67780
24000 0 15607 24000
3852 24135 71866 76000
21856 26071 50075 58000
14123 15000 11512 15000
0 0 NA 0
24726 0 125275 130000
24810 0 158191 163000
0 0 0 0
0 0 0 0
20000 20000 NA 17717
25001 23926 87075 91000
13858 0 15000 15000
0 3966 35000 35000
14000 14000 4737 14000
22671 0 31330 34000
0 0 0 0
32876 35220 39906 59906
0 0 NA 0
0 0 0 0
22000 22000 NA 15847
30330 19259 20671 30671
11000 23517 131484 137722
16521 16296 0 6521
0 0 59000 59000
9087 17348 53000 53000
0 29431 99570 109000
8668 22487 43514 46000
8897 15084 0 5084
40001 25491 417726 433216
13285 20000 93393 95000
2808 22251 36750 39000
0 13351 17000 17000
27774 12527 108227 116000
27399 22567 54036 64000
27531 20407 NA 10407
32026 0 106975 116975
13049 9788 0 3049
27912 23927 132163 144000
0 0 NA 0
0 38529 102472 112472
0 26008 112993 119000
5635 40001 141129 151129
4113 12000 4381 12000
40001 25821 28108 43928
0 0 16000 16000
0 0 0 0
27367 20000 45270 59000
0 27531 52470 60000
9266 24485 55516 60000
0 0 NA 0
25864 28265 54873 69000
38849 21158 46995 58152
0 0 361000 361000
0 0 0 0
0 0 NA 0
26181 22334 59487 68000
0 23000 16450 23000
21961 0 21040 23000
26734 27968 1235 17968
32514 29422 22066 41487
0 25751 32250 38000
0 0 0 0
16653 0 22000 22000
12156 12149 NA 2149
23855 27001 28146 34345
27001 6838 31947 37000
14000 14000 9337 14000
14000 0 93000 100967
0 35782 39782 49782
36139 21398 14742 26139
8273 0 0 0
17000 36674 125151 145151
11000 10089 NA 89
30923 24708 51371 66078
0 0 16000 16000
26428 26896 NA 16428
5228 10175 0 175
24073 0 27928 32000
38024 0 67977 77977
0 24998 63003 68000
6257 0 NA NA
0 0 NA 0
20864 29391 97747 108000
18944 20740 29261 30000
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
27869 19253 41132 49000
0 0 NA 0
35559 0 130442 140442
17914 23885 3885 13885
17000 17000 2717 17000
0 0 27000 27000
0 0 0 0
25317 0 103684 109000
0 16000 70486 74000
0 10786 76000 76000
17000 0 2500 12500
0 36515 16515 26515
10059 10595 NA 59
9307 0 22000 22000
22000 20001 12384 22000
24252 16240 67749 72000
28597 21603 20802 31000
0 0 0 0
30770 17366 65231 75231
22893 29412 52697 65000
13001 14248 NA 0
13001 2741 35000 35000
0 0 0 0
0 0 NA 0
0 0 0 0
10116 9444 NA 0
12045 12196 0 2196
30741 30505 21246 41246
28001 28001 0 11734
18591 16001 10591 17000
16001 13000 13000 13000
0 0 0 0
18214 13972 0 8214
18000 18000 9089 18000
34427 22748 19827 32574
14816 18000 15494 18000
13614 5244 0 3614
159 0 0 0
0 0 0 0
0 0 0 0
10372 10546 0 546
22552 20034 29416 32000
16246 0 0 6246
0 0 NA 0
22000 19393 15855 22000
17967 17424 0 7967
22432 21638 NA 11638
25909 26210 302 16210
32187 32378 192 20192
38760 29856 39386 59241
0 0 0 0
0 0 0 0
0 0 NA 0
0 0 0 0
23976 12968 35025 39000
21008 13567 23993 25000
300 5301 0 0
25000 25000 9833 25000
10522 19000 NA 522
18455 11783 115000 115000
589 0 0 0
0 0 NA 0
0 4582 0 0
20367 28051 26584 35000
0 23842 138159 142000
0 0 NA 0
0 13445 0 3445
21000 21000 403 12360
21000 12476 12117 21000
9426 7001 NA 0
15214 19615 0 9615
21000 14934 19042 25934
18000 16733 15434 18000
22707 21001 40294 43000
21001 34000 14282 24625
28724 22161 6564 18724
17387 13565 0 7387
0 3028 0 0
12367 11509 NA 1509
25658 24884 27460 38000
21914 20868 1047 11914
21088 22616 31298 35000
11930 12973 NA 1930
0 1634 NA NA
0 0 NA 0
0 0 NA 0
0 0 NA 0
0 0 0 0
29966 12767 58035 68000
0 0 0 0
30767 1503 23234 33234
23479 27977 25546 37000
0 0 0 0
27069 23555 27378 38000
0 0 27000 27000
0 0 0 0
0 0 0 0
7016 1428 42000 42000
16585 18259 110000 110000
0 0 45000 45000
1154 2841 NA 0
29266 10556 34735 44000
26358 14058 61643 68000
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
24817 20825 62360 68000
9896 26875 69126 76000
19983 24769 65232 70000
0 6973 0 0
17000 17000 12686 17000
12749 14356 0 4356
16000 26001 45256 47000
26001 0 285000 285913
0 0 0 0
0 0 0 0
0 21802 130199 132000
25510 0 23491 29000
0 14000 162000 162000
0 0 147000 147000
0 0 0 0
0 880 0 0
18000 18094 4535 18000
24783 0 17783 19000
0 23416 56585 60000
0 6158 107000 107000
23141 14258 63860 67000
21070 0 68931 70000
28935 25066 70870 85935
21000 0 249650 251000
0 5152 217000 217000
29313 0 455688 465000
27000 29581 95151 112000
1302 33908 121093 131093
0 0 NA 0
7880 0 145000 145000
32090 26019 6072 22090
0 0 NA 0
0 0 NA 0
16390 28637 422364 431000
18954 0 52000 52000
9190 9916 NA 0
25302 0 88699 94000
0 0 NA 0
0 0 0 0
25000 24324 195144 205000
0 26158 31843 38000
0 0 0 0
0 0 0 0
20000 20539 48220 57000
17289 0 18000 18000
0 0 70000 70000
32000 0 19915 29915
0 0 0 0
0 0 0 0
10340 13934 0 3934
19627 23233 36768 40000
0 0 0 0
0 0 NA 0
0 0 379000 379000
0 20697 37304 38000
27397 27219 413386 428000
17172 0 91000 91000
27873 8286 102128 110000
0 0 0 0
0 0 343000 343000
0 27000 10917 20917
0 0 51000 51000
0 0 0 0
0 28820 30181 39000
0 0 0 0
28894 28555 NA 18555
26001 0 142576 152576
0 0 NA 0
0 0 46000 46000
0 0 0 0
22035 0 28966 31000
18000 15161 17507 18000
0 0 0 0
26904 28973 16125 32000
0 0 0 0
0 0 0 0
0 0 17000 17000
20000 10423 563882 567000
0 12655 34000 34000
0 0 0 0
0 0 0 0
21938 0 35063 37000
0 1832 38000 38000
23265 0 123736 127000
0 0 0 0
35900 25000 27055 47055
25000 18474 29653 39653
12000 12000 NA 4160
0 0 111000 111000
18854 0 26000 26000
31603 20392 20007 30398
36927 37000 103 20103
0 0 46000 46000
0 0 0 0
0 0 NA 0
0 0 0 0
21000 21000 12978 21000
14000 14000 NA 5084
14000 14000 2398 14000
0 0 0 0
0 0 0 0
0 0 0 0
0 25093 70908 76000
0 14228 NA NA
0 0 0 0
20000 31850 70119 82151
0 0 58000 58000
0 0 0 0
23675 22713 17614 24000
17000 14448 6337 16337
25803 14597 100198 106000
26199 20507 71296 78000
19000 19000 8660 19000
0 0 20000 20000
22596 0 2596 12596
23763 6380 82238 86000
28999 29939 49064 68000
20250 19565 27751 28000
24236 6911 36765 41000
18095 18065 NA 15906
20724 19000 6747 19000
20000 20000 125 11777
20000 20000 8140 20000
17000 0 21949 30000
0 0 NA 0
11243 19732 67000 68243
5972 0 0 0
40001 25037 45046 60082
8640 15000 28438 31000
0 0 0 0
2137 10326 0 326
24766 23553 65683 74000
0 0 0 0
0 0 0 0
0 18215 32000 32000
9122 9034 0 0
23199 19984 34802 38000
23662 15367 36339 40000
31420 0 146581 156581
27674 40001 82765 100438
0 0 NA 0
0 9487 35000 35000
2326 0 0 0
23828 0 78173 82000
0 31632 27369 37369
17000 17000 17000 17000
0 17000 NA NA
40001 21428 84270 95697
4895 0 0 0
0 23876 3876 13876
2384 24146 18146 28146
21000 18286 76311 85000
0 38454 63547 73547
29442 30417 NA 19026
0 0 72000 72000
32084 37854 53064 73064
3262 4925 NA 0
28221 29513 66268 84000
23000 23000 6315 22266
0 0 NA 0
0 0 92000 92000
26000 14853 17340 30853
28000 26893 12317 28000
11232 17463 38000 38000
2376 0 44000 44000
32381 27554 14067 31620
2782 0 0 0
29781 0 77220 87000
0 0 0 0
11935 13560 NA 1935
29575 16000 161097 178000
0 0 0 0
17749 40001 27054 37054
24635 27113 37254 49000
0 0 0 0
0 33036 53965 63965
13000 13000 13000 13000
14000 14000 11614 14000
15000 34553 60999 79448
6905 8076 0 0
20000 18773 16332 20000
14000 14000 8915 14000
0 0 0 0
24046 24338 36293 50338
0 22362 51639 54000
0 0 139000 139000
24441 12876 21560 26000
31967 1035 80034 90034
28652 20874 174476 184000
0 0 0 0
29342 11631 34659 44000
4520 12193 69000 69000
3348 18980 29000 29000
15001 15001 0 1256
25287 0 56714 62000
0 16880 61000 61000
0 21221 42780 44000
0 0 NA 0
0 8088 14000 14000
0 0 71000 71000
0 28616 101616 111616
0 19973 47000 47000
13735 0 110000 113735
34287 0 243714 253714
27000 22001 14860 24860
35000 23677 16106 29782
0 5928 14000 14000
20974 0 29027 30000
0 17001 158000 162296
27000 0 18451 27000
6592 34358 97643 107643
25520 0 51481 57000
0 9978 15000 15000
1156 11219 127000 127000
377 21612 128389 130000
0 4483 0 0
0 0 831000 831000
0 0 0 0
40001 0 58644 68644
29764 15715 165237 175000
0 0 0 0
0 0 0 0
8505 0 18000 18000
0 0 0 0
0 0 0 0
28538 16000 30615 45000
14770 24536 46465 51000
0 20338 36663 37000
14728 0 0 4728
0 0 35000 35000
26741 9863 22260 29000
19000 25584 40912 56495
14456 0 107000 107000
23009 21530 39463 44000
0 0 341000 341000
27262 0 279739 287000
27068 14000 36834 47000
0 0 0 0
0 0 0 0
0 0 0 0
25000 31000 39289 54667
5804 5929 NA 0
0 0 0 0
19436 28459 24542 33000
0 0 70000 70000
0 29928 22928 32928
13542 14496 0 4496
17000 17000 140725 149000
0 0 0 0
23000 3996 13259 23000
15000 0 18000 25137
26734 37396 16872 33605
0 0 0 0
0 0 0 0
27722 17280 32279 40000
29804 0 20197 30000
31454 5846 11454 21454
4164 24071 28930 33000
16403 0 17000 17000
0 0 NA 0
0 0 0 0
40001 21718 29882 41599
0 0 0 0
28000 15001 65156 75000
24925 8861 88076 93000
33333 30191 NA 16859
31939 13008 73939 83939
9001 0 15000 15000
40001 10060 27304 37304
0 0 26000 26000
0 25930 24071 30000
20461 0 301540 302000
1265 23162 61839 65000
21844 26136 105022 113000
0 0 78000 78000
0 0 0 0
27951 0 82050 90000
6613 11068 70000 70000
8479 0 14000 14000
36094 0 85907 95907
0 22994 78007 81000
0 0 0 0
17000 0 16193 17000
28210 0 143791 152000
6829 0 NA NA
20171 14000 14000 20830
21346 10348 26655 28000
27640 0 20361 28000
0 0 NA 0
0 0 0 0
1122 0 0 0
16519 27275 31726 39000
13586 14272 0 4272
17000 34571 77962 89430
28000 10348 65829 75000
0 17738 23000 23000
20000 20000 NA 7451
0 0 0 0
308 945 0 0
27987 27931 57 17987
19654 10398 31000 31000
0 0 0 0
0 9224 0 0
11128 10368 NA 368
18823 26465 22536 29000
0 13938 25000 25000
19000 19000 13 10174
23001 4723 21000 23556
20000 8964 18315 20000
0 16766 25000 25000
14000 12000 20897 26000
0 0 28000 28000
0 0 0 0
2086 2226 0 0
25899 5796 52102 58000
22000 22000 15176 22000
1935 2440 0 0
10370 23001 13000 16560
16000 16000 5267 16000
7979 17055 57000 57000
0 12374 0 2374
27104 24252 36646 48000
0 0 0 0
0 0 0 0
0 0 0 0
12475 25594 26407 32000
12677 8899 107000 107000
0 13268 64000 67268
25951 21574 19477 27000
0 0 0 0
15000 17533 44000 44000
0 0 228000 228000
0 5795 0 0
9898 20427 427 10427
22608 28841 6234 18841
30388 27900 49714 67613
12898 25000 17968 25000
18000 18000 8780 18000
22001 22001 0 5632
17000 0 12076 17000
24654 0 106347 111000
0 0 85000 85000
0 12039 30000 30000
28574 0 232427 241000
0 0 0 0
25348 23704 158950 168000
13778 19000 76488 86488
0 0 0 0
18303 18284 NA 8284
40001 40001 76003 96003
39637 20874 80764 91637
25034 0 22967 28000
25858 28187 64957 79000
0 0 0 0
1478 4928 0 0
27865 8724 7865 17865
0 0 0 0
0 38097 282904 292904
0 0 121000 121000
24678 21338 156986 163000
33000 0 107288 117288
14174 0 105000 105000
29205 29262 58 19262
21715 27595 33692 43000
0 0 0 0
0 6947 17000 17000
36383 34451 NA 18069
11565 0 0 1565
11542 16000 25058 35000
0 19702 60000 60000
0 0 283000 283000
21423 0 525578 527000
40001 24747 262123 276869
0 0 0 0
19797 0 57000 57000
23664 22000 40634 49000
21361 20637 21004 23000
23000 23000 12116 23000
0 14978 17000 17000
0 0 0 0
19000 10001 33005 40000
10001 10001 0 0
23000 17627 18727 23000
21000 16461 19069 21000
22711 27338 58953 69000
16413 16519 33000 33000
29577 19556 63424 73000
0 18656 26000 26000
11235 17730 57000 57000
25893 15958 140108 146000
28000 23378 106892 120269
16062 23865 89136 93000
0 0 0 0
0 15558 337000 337000
944 1884 0 0
26000 19884 364388 380884
32737 30697 21568 41568
0 0 0 0
0 28663 90338 99000
15000 16624 53000 53000
23340 40001 24889 38228
0 0 0 0
0 26836 135165 142000
14004 0 45000 45000
0 11662 62000 62000
21000 0 105498 108000
25243 27000 11567 26809
0 18000 73275 79000
19264 26878 22123 29000
0 0 0 0
35306 0 35695 45695
24201 7965 31800 36000
27000 0 18471 27000
0 0 0 0
0 0 0 0
0 0 0 0
14840 0 51000 51000
0 0 0 0
0 0 NA 0
0 0 1100000 1100000
26325 4523 54676 61000
0 11897 93000 93000
32808 18000 204405 224405
18000 40001 33902 53902
40001 28081 13653 31733
0 498 0 0
24663 25959 62380 73000
0 0 NA NA
0 8205 259000 259000
0 0 0 0
24000 8779 76485 85000
5567 0 20000 20000
0 32751 12751 22751
35011 32111 14880 34880
0 0 0 0
0 0 135000 135000
18000 18000 NA 16026
26000 18036 41317 50000
0 0 0 0
24383 0 36618 41000
0 0 NA 0
0 22190 30811 33000
13000 13000 10221 13000
28000 1128 18954 28000
0 0 0 0
10407 0 35000 35000
0 0 0 0
0 25000 19303 25000
0 0 0 0
27770 26328 42904 57000
0 20329 34672 35000
13598 28000 60495 69000
0 0 NA NA
0 0 273000 273000
21657 15285 43344 45000
7706 7287 0 0
0 17188 31000 31000
24000 24000 NA 16836
17878 24000 NA 7878
22080 22402 21520 26000
0 0 0 0
10772 6688 23000 23772
19000 19000 7546 18933
14307 2506 49000 49000
0 0 0 0
0 30870 136131 146131
40001 27298 18212 35509
30545 0 374456 384456
0 0 0 0
18646 19848 NA 8646
0 0 0 0
25534 0 11000 15534
30539 24268 31195 45462
0 24000 44819 51000
0 0 0 0
5526 0 0 0
0 0 0 0
0 0 0 0
10315 25135 5135 15135
27965 25198 NA 15198
0 0 0 0
11550 12967 0 2967
15051 40001 76249 86249
30467 0 601534 611534
0 26965 45036 52000
0 18467 384000 384000
15013 0 19000 19000
29789 26231 64982 81000
0 0 0 0
0 0 0 0
0 0 74000 74000
0 0 0 0
29884 31242 1359 21242
33546 13436 157455 167455
27436 0 93565 101000
33000 18000 35070 46585
19000 19000 14200 19000
16152 15462 25000 25000
0 0 0 0
0 22977 35024 38000
0 0 NA 0
0 0 0 0
0 26970 358031 365000
11000 0 3027 11000
21239 0 43762 45000
29857 0 19857 29857
0 0 NA 0
14000 0 54000 54000
4609 20283 88718 89000
0 21132 28869 30000
0 0 28000 28000
0 0 0 0
0 8195 0 0
24000 0 14790 24000
0 25074 36927 42000
0 0 0 0
0 0 NA 0
0 5144 0 0
23000 26336 51432 63000
17107 0 0 7107
29356 0 65645 75000
0 22449 191552 194000
6238 27109 28892 36000
12204 17782 0 7782
25000 25000 NA 17664
0 16510 44000 44000
0 0 NA 0
0 37814 64187 74187
28084 0 218917 227000
0 0 27000 27000
0 0 314000 314000
0 0 0 0
25839 16000 50162 56000
0 0 0 0
0 0 113000 113000
0 12000 27073 31000
26 0 64000 64000
28269 24530 64203 77000
8824 9403 NA 0
1913 1407 0 0
0 8514 44000 44000
13914 25139 124862 130000
16392 10729 NA 729
25877 25773 105 15877
12810 0 172000 172000
23888 25000 321538 334000
0 3026 11000 11000
0 15015 0 5015
31000 19042 17650 27650
0 0 NA 0
21867 29579 21556 33000
11087 14605 32000 32000
0 27223 77778 85000
0 0 NA 0
13000 13000 NA 13000
18513 0 413000 413000
0 0 34000 34000
0 0 492000 492000
13504 23059 104942 108000
0 10736 NA 0
20000 40001 51661 65033
23295 24393 NA 13295
0 0 0 0
0 0 0 0
25929 19080 82072 88000
0 0 33000 33000
0 0 0 0
0 0 0 0
0 0 19000 19000
24275 0 61726 66000
0 18250 62000 62000
12141 0 217000 217000
16984 24087 60914 65000
7722 28386 26615 35000
0 9000 158083 165000
0 9000 NA 0
28314 19656 77687 86000
6232 19000 160836 165000
15153 19875 49000 49000
27124 0 115877 123000
0 0 NA NA
1382 26788 29213 36000
3932 23001 207425 210000
0 0 0 0
28880 15000 40845 53000
15000 27634 87367 103196
0 0 0 0
40001 16592 141825 151825
29254 21000 46835 66088
0 27508 76493 84000
0 0 0 0
16271 40001 117157 127157
40001 0 461413 471413
25564 0 80437 86000
0 0 NA 0
12776 12285 NA 2285
26549 17672 111452 118000
14322 12777 377000 377000
27074 22408 72520 82000
0 0 0 0
0 0 31000 31000
23299 24232 NA 13299
0 0 0 0
15313 20000 13345 20000
8473 24558 244443 249000
37959 9116 27042 37042
22063 5216 NA NA
12609 0 NA NA
26427 10595 74574 81000
20000 12000 59744 66000
22000 22000 3 18783
0 4615 0 0
19000 0 5896 15896
28000 10629 17818 27818
0 4098 401000 401000
9119 16845 0 6845
20277 27882 34843 43000
20317 8193 50317 60317
16000 16000 NA 16000
0 23887 174114 178000
11604 30012 139989 151593
0 5078 13000 13000
0 0 295000 295000
20178 0 33823 34000
0 20556 30445 31000
15931 18258 69000 69000
14649 0 0 4649
0 0 0 0
0 0 0 0
0 11135 117000 117000
4735 17152 66000 66000
0 0 0 0
0 0 NA 0
22000 10253 11713 21713
21000 19607 51028 61028
15566 3183 0 5566
21000 21000 NA 14732
0 0 0 0
3783 2693 NA 0
29140 1151 56861 66000
10767 0 16000 16000
1807 4696 79000 79000
0 0 0 0
0 0 29000 29000
23877 0 213124 217000
0 0 0 0
0 0 0 0
12001 21729 42272 44000
13000 7238 NA 0
13000 20615 54386 55000
6284 0 27000 27000
6473 9143 103000 103000
0 17407 24000 24000
25093 0 59908 65000
0 0 0 0
0 0 281000 281000
0 14993 50000 54993
21708 0 26293 28000
0 0 0 0
13676 22284 38717 41000
0 36298 72298 82298
0 0 124000 124000
9010 9032 0 0
18000 18000 9462 18000
24139 21187 45676 51000
0 0 43000 43000
0 25191 381810 387000
25765 0 5765 15765
12117 20229 41772 42000
0 0 0 0
26888 0 80113 87000
3902 11146 0 1146
0 0 0 0
37373 0 30628 40628
15944 0 634000 634000
14000 16398 980000 980000
0 0 0 0
21166 0 35835 37000
0 0 0 0
23457 19902 52544 56000
30116 20546 41340 51885
0 0 0 0
0 13000 3175 13000
16820 10200 142000 142000
0 23001 88282 89000
24221 23001 NA NA
0 2660 131000 131000
0 9633 18000 18000
0 0 NA 0
0 0 0 0
5070 23000 96945 106945
0 0 28000 28000
0 0 0 0
0 0 0 0
0 14000 75000 75000
0 8141 17000 17000
0 0 0 0
34531 17763 36470 46470
28000 26688 8030 24717
23538 21937 87527 93000
33000 2042 60544 70544
0 0 NA 0
20511 0 88490 89000
14598 10000 223000 227598
0 0 0 0
28477 16638 23524 32000
6563 716 0 0
0 0 59000 59000
28622 20712 33668 43000
3262 0 0 0
0 0 90000 90000
0 277 0 0
0 2496 12000 12000
16000 14648 65386 72000
14000 14000 0 8005
16000 16000 8753 16000
23861 0 22140 26000
0 14000 69000 69000
5470 0 247000 247000
0 15272 237000 237000
23041 26846 30115 40000
0 0 0 0
0 0 41000 41000
0 23000 16462 23000
12169 28227 56774 65000
16000 0 55588 57000
0 37441 74441 84441
40001 17929 26857 36857
0 0 0 0
0 0 NA 0
24879 17329 88122 93000
0 0 0 0
21822 21000 106579 116000
16980 17000 10086 17000
10641 16573 NA 641
0 21227 62774 64000
0 14193 164000 164000
7913 10137 86000 86000
22000 0 30053 36000
34000 0 19983 29983
40001 28344 29441 47784
0 0 0 0
0 0 0 0
0 18902 30000 30000
15998 27000 39988 48000
0 25000 NA NA
0 0 228000 228000
0 0 0 0
26591 9409 98410 105000
0 0 0 0
0 17000 11542 17000
0 0 NA 0
22138 22979 NA 12138
40001 22699 54749 67447
0 27203 33798 41000
0 0 268000 268000
16000 29836 23940 35836
40001 29627 11302 30928
14001 14001 0 2586
17000 17000 4711 17000
0 16191 19000 19000
0 0 NA 0
0 0 38000 38000
0 0 0 0
0 0 0 0
0 0 0 0
0 25000 53114 59000
12000 0 98000 98000
26000 26000 NA 19720
13053 9863 50000 50000
23561 37194 39247 52807
0 0 0 0
0 0 0 0
2512 2267 NA 0
18795 0 77000 77000
0 0 NA 0
0 0 NA 0
0 23848 111153 115000
0 0 0 0
14000 14000 NA 13037
12970 17053 63000 63000
0 0 106000 106000
0 0 0 0
0 728 73000 73000
0 0 NA 0
0 13011 14000 14000
0 4653 21000 21000
28580 19663 65421 74000
0 0 0 0
11156 3970 0 1156
0 30990 56011 66011
0 21059 68942 70000
0 0 16000 16000
0 34000 17049 27049
24899 32170 56933 71831
14170 12955 65000 65000
0 0 NA 0
0 4408 121000 121000
16117 2162 50000 50000
26617 0 84384 91000
0 11337 140000 140000
0 0 NA 0
21607 14000 490394 492000
13221 30297 140704 153925
7749 7310 NA 0
15000 5552 146164 155000
0 0 227000 227000
10604 10982 30000 30000
0 0 NA 0
371 1427 0 0
15402 21461 196540 198000
6824 9042 174000 174000
20322 35227 23453 33774
28405 2331 23596 32000
30000 30000 NA 19742
20859 10445 NA NA
0 0 17000 17000
0 0 0 0
0 0 0 0
5478 32000 14225 24225
25088 13200 53913 59000
0 0 156000 156000
