20Kb_5End 20Kb_3End Within Within+10Kb
29000 23790 15929 29000
14999 14183 0 4999
10753 9931 0 753
21882 20457 20663 23000
18653 7660 0 8653
3353 9707 0 0
21720 21787 27495 31000
21001 23000 12517 22517
0 0 0 0
0 0 NA 0
0 0 NA 0
28323 38343 36336 54658
0 0 0 0
22840 24257 NA 12840
17001 17001 0 3370
37978 21642 27382 39023
0 8134 NA 0
7281 7302 0 0
20449 25153 23400 29000
176 21593 70408 72000
0 0 NA 0
11825 0 103000 103000
27820 20533 19649 28000
6512 15852 360000 360000
23000 23000 481 20416
18695 26059 101942 116695
0 9067 43000 43000
27001 40001 57850 74850
0 0 NA 0
31478 23199 51325 64523
0 0 NA 0
21389 24956 51657 58000
0 0 NA 0
0 0 0 0
0 0 0 0
0 0 NA 0
32000 13494 50841 60841
11001 17000 17000 17000
19015 21000 14182 21000
1671 2655 0 0
30000 30000 16 20016
0 19100 18100 19000
21001 21001 NA 7770
20000 20000 6274 20000
17718 10785 0 7718
24743 0 90258 95000
14000 14000 10467 14000
25000 10755 16593 25000
0 0 0 0
0 15655 37000 37000
0 0 0 0
28193 39288 71521 89713
0 0 NA 0
36153 0 52848 62848
14000 0 31670 33000
23892 22000 43329 53000
475 0 0 0
24787 0 126214 131000
23026 23007 20 13026
0 0 21000 21000
9475 38098 18098 28098
40001 0 24834 34834
19765 29692 92309 102000
0 29544 26457 36000
0 0 50000 50000
20466 0 80535 81000
29096 30853 17053 36148
14593 24034 147967 152000
8525 5603 0 0
28970 24196 95836 109000
0 33741 88260 98260
0 0 0 0
0 0 NA 0
25917 27224 199861 213000
0 0 NA 0
29188 0 68813 78000
20829 24000 16073 24000
0 424 283000 283000
0 0 0 0
25783 5492 41218 47000
28099 18000 34645 52743
18000 18000 13127 18000
23000 0 50850 59000
28804 0 30197 39000
0 0 161000 161000
14000 14000 61 14000
0 0 0 0
19418 19487 0 9487
40001 23101 25878 38978
0 20001 39000 39000
14000 0 25020 33000
19000 0 317583 327583
29000 12832 57230 67230
0 0 NA 0
0 23966 128035 132000
12000 12000 NA 10740
12000 0 91000 94236
0 17901 41000 41000
0 0 0 0
24538 22693 19771 27000
21107 4262 35894 37000
0 0 0 0
0 16000 90000 90000
0 0 0 0
0 0 276000 276000
2834 35257 61744 71744
1182 23060 52941 56000
18001 18001 0 4007
22249 1198 27752 30000
19164 13612 52000 52000
26487 3363 92514 99000
0 5930 0 0
16774 16838 35000 35000
23934 26443 0 9510
27001 0 33000 34355
6117 0 92000 92000
28024 0 39977 48000
16868 12870 51000 51000
0 0 0 0
0 0 0 0
15607 27097 244904 252000
12000 12000 12000 12000
28628 0 21373 30000
14000 8138 NA 0
14000 19348 12357 14000
13423 0 9423 11000
0 0 0 0
0 0 43000 43000
0 0 0 0
2463 29429 33572 43000
21171 22331 58500 62000
0 0 31000 31000
22830 0 33171 36000
0 18100 49000 49000
40001 0 27108 37108
0 0 NA 0
15731 19749 102000 102000
33962 21420 39620 51039
11519 11278 0 1519
30000 30210 44734 64734
0 0 0 0
0 20557 59444 60000
3851 25314 25687 31000
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
38376 0 18376 28376
0 8780 0 0
21357 8705 149644 151000
37502 16108 40499 50499
0 22781 286220 289000
0 29703 75298 85000
24606 0 161395 166000
0 0 97000 97000
0 16000 16000 16000
11580 35657 37344 47344
0 0 0 0
0 0 0 0
5512 5705 0 0
14000 12266 24947 28000
23000 18239 14610 23000
0 15000 11583 15000
0 0 54000 54000
0 0 0 0
0 0 0 0
0 0 288000 288000
0 18266 523000 531266
20917 22220 61865 65000
0 8344 23000 23000
40001 0 63529 73529
0 0 0 0
12149 40001 22944 32944
40001 22706 44870 57575
17000 0 35000 35000
0 0 0 0
28851 40001 20257 39107
34376 19645 14376 24376
13444 22000 17539 25444
16209 0 16000 16000
0 0 0 0
0 0 0 0
22063 2673 37938 40000
11555 18769 36000 36000
4976 8000 6725 8000
5327 0 0 0
0 23694 21307 25000
15000 15000 7841 15000
17264 30874 54127 64127
22701 5870 2701 12701
12565 195 115000 115000
0 8047 42000 42000
0 0 NA 0
10725 12795 0 2795
28000 0 17843 27843
0 0 NA 0
0 4001 15000 15000
2314 22135 20866 23000
9362 29199 28802 38000
6079 0 42000 42000
0 0 0 0
20369 20727 359 10727
25000 6533 37944 45000
0 20171 43830 44000
0 22631 66370 69000
0 0 0 0
0 0 0 0
27000 20369 19271 37369
30824 30762 NA 19939
38000 23188 15105 28292
0 0 20000 20000
28782 19824 56219 65000
5740 4533 0 0
14044 14912 23000 23000
2485 2468 0 0
30298 35902 10802 30802
24694 18428 175694 185694
26846 29118 51273 68118
16000 28375 24375 34375
20139 22712 28428 41139
0 0 0 0
0 0 0 0
24376 24000 79303 89000
0 0 0 0
10493 18681 0 8681
30210 30931 52861 72861
7495 0 81000 81000
0 0 0 0
0 0 220000 220000
0 44 45000 45000
28397 40001 12024 30420
0 12000 12000 12000
31241 0 296760 306760
0 0 0 0
0 0 36000 36000
0 0 0 0
17000 0 36814 41000
0 34468 14468 24468
38636 20917 34449 45365
0 0 19000 19000
662 591 35000 35000
13000 0 6897 13000
0 26711 76290 83000
0 0 127000 127000
0 0 0 0
0 12023 27000 27000
0 0 0 0
0 0 65000 65000
0 0 0 0
0 6009 0 0
8233 8524 0 0
8962 20000 103368 104000
12506 3716 21000 21000
21505 23001 56496 58000
18586 14000 23566 29000
14000 14000 10844 14000
15079 21118 36883 38000
12001 16031 0 6031
21067 26675 21260 29000
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
30245 22263 49494 61756
12214 8058 NA 0
22480 30977 21545 34024
19149 19106 0 9149
20190 32000 15257 25446
17199 16948 0 7199
0 0 0 0
6774 6462 NA 0
22000 22000 2627 20203
2013 7178 0 0
14000 14000 14000 14000
9344 9729 NA 0
24192 37115 12924 27115
35167 27001 15167 25167
27001 22992 24009 27000
20580 19802 580 10580
18942 0 49000 49000
22060 22461 28481 33000
0 0 0 0
8349 20942 30059 31000
0 20611 42390 43000
9134 31981 11981 21981
30617 4074 135617 145617
5721 13088 0 3088
15000 15000 10583 15000
15000 0 0 7634
0 0 0 0
0 0 0 0
9569 9524 NA 0
15000 15000 12347 15000
15000 15000 0 7694
8476 3001 0 0
17469 18000 74976 78000
10001 10001 0 0
16102 16574 0 6574
25189 25009 NA 15009
31840 31744 NA 19905
35165 39126 3962 23962
36166 31767 4400 24400
30374 0 10374 20374
29000 19820 11876 21876
5896 6347 NA 0
0 0 0 0
0 11052 0 1052
20000 15464 18496 20000
28476 0 21525 30000
0 0 0 0
0 0 0 0
0 0 NA 0
8872 9128 0 0
13726 15000 0 7813
15000 21126 7413 15000
24001 15960 28002 30000
3748 2795 0 0
0 16066 31000 31000
8667 8182 0 0
4671 3635 0 0
2929 12000 0 5883
12000 12000 NA 8253
12000 12000 0 5293
6843 6489 NA 0
11615 23463 49538 53000
11543 11315 0 1543
1095 0 0 0
24599 13403 140402 145000
3196 4833 0 0
14000 14000 7809 14000
21001 21001 0 7645
14000 14000 12250 14000
16000 16000 0 8542
16000 22001 13699 18363
9000 9000 5156 9000
0 0 0 0
0 0 0 0
0 0 0 0
17617 17725 0 7725
19000 19000 NA 14879
19000 15243 8537 18537
7336 21000 18518 21000
20621 22805 24576 28000
20000 19448 18604 20000
16909 16723 0 6909
10001 7319 59000 59000
409 768 NA 0
4753 5094 0 0
9383 9898 0 0
21000 18401 NA 3684
0 19370 41000 41000
32838 8982 12838 22838
25000 27939 102796 117000
23053 0 87948 91000
0 0 79000 79000
6523 0 22000 22000
0 20000 18126 20000
11834 11497 0 1834
28322 31400 14280 32601
21862 18939 1862 11862
3191 3061 NA 0
18743 0 67000 67000
15000 13961 11862 15000
7233 21851 31150 33000
19864 19656 0 9864
2099 2126 NA 0
0 0 NA 0
0 0 0 0
1647 2239 0 0
8514 9199 0 0
20804 39893 19090 29893
31815 20209 11607 21815
15592 0 0 5592
4985 6520 0 0
9665 39454 75547 85547
31972 22918 9055 21972
0 9697 41000 41000
29601 24000 41440 58000
22420 22681 31901 37000
11628 0 27000 27000
8608 0 35000 35000
10555 37181 183820 193820
40001 26904 98564 115467
0 0 0 0
27101 17970 25900 33000
27008 27234 NA 17008
0 0 29000 29000
12582 12746 0 2746
32565 27936 120501 138436
17583 0 33000 33000
0 19000 14428 19000
6157 19035 64000 64000
0 0 NA 0
0 0 24000 24000
11951 20000 17175 20000
5622 23067 141934 145000
